config_name,stop_atr_multiple,target_r_multiple,min_score,total_trades,target_hit_rate_pct,stop_hit_rate_pct,open_rate_pct,avg_return_pct,median_return_pct,avg_days_to_outcome,avg_stage3_fundamental_score,avg_conviction_score,conviction_pass_rate_pct,avg_promoter_holding_change,avg_debt_to_equity_change,breakout_count,breakout_avg_return_pct,buy_count,buy_avg_return_pct
stop_1.5_target_1.5_score_65,1.5,1.5,65,19,26.32,52.63,21.05,-0.23,-2.35,4.68,0.0,44.63,100.0,,,19,-0.23,0,0
stop_2.0_target_1.5_score_65,2.0,1.5,65,15,6.67,66.67,26.67,-2.11,-3.71,5.6,0.0,45.13,100.0,,,15,-2.11,0,0
